C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
46.837658,38394010.1,33.010654,LOS
47.117893,38394067.22,33.009987,LOS
47.486122,38394129.57,33.009331,LOS
47.866089,38394192.2,33.008667,LOS
48.482944,38394254.53,33.008015,LOS
48.42083,38394311.77,33.007343,LOS
48.232082,38394374.54,33.006695,LOS
47.700375,38394437.05,33.006031,LOS
47.542812,38394499.27,33.005367,LOS
47.144711,38394556.26,33.004711,LOS
47.494308,38394618.5,33.004051,LOS
47.511234,38394680.84,33.003395,LOS
46.785633,38394743.01,33.002735,LOS
46.603527,38394805.33,33.002079,LOS
46.079922,38394862.49,33.001415,LOS
45.712524,38394924.29,33.000755,LOS
45.724651,38394986.55,33.000107,LOS
46.969357,38395048.95,32.999439,LOS
47.535767,38395111.22,32.998791,LOS
47.935474,38395168.01,32.998135,LOS
48.03278,38395229.92,32.997475,LOS
48.023125,38395292.21,32.996811,LOS
47.884117,38395354.33,32.996155,LOS
48.176079,38395416.32,32.995495,LOS
48.131073,38395473.16,32.994843,LOS
47.912449,38395535.76,32.994186,LOS
47.885555,38395597.69,32.99353,LOS
47.906467,38395660.15,32.992874,LOS
47.910583,38395717.13,32.992218,LOS
47.208725,38395778.94,32.991566,LOS
46.36713,38395840.9,32.990906,LOS
45.187088,38395902.51,32.99025,LOS
44.346424,38395964.78,32.98959,MP
44.635117,38396021.59,32.988937,LOS
45.498703,38396084.05,32.988285,LOS
47.022041,38396146.06,32.987637,LOS
47.640579,38396208.07,32.986969,LOS
48.067169,38396264.38,32.986317,LOS
48.528011,38396326.23,32.985661,LOS
48.205849,38396388.31,32.985004,LOS
47.595551,38396450.62,32.984348,LOS
46.641003,38396512.59,32.983696,LOS
45.660782,38396569.25,32.983044,LOS
45.604877,38396631.44,32.982391,LOS
45.610336,38396693.54,32.981735,LOS
46.333862,38396754.91,32.981075,LOS
46.859222,38396811.46,32.980423,LOS
46.95599,38396873.27,32.979771,LOS
47.502483,38396935.05,32.979122,LOS
47.504391,38396996.94,32.978466,LOS
47.904049,38397059.01,32.977814,LOS
48.109234,38397115.64,32.977158,LOS
48.26527,38397177.48,32.976509,LOS
48.579899,38397239.23,32.975853,LOS
48.729942,38397301.1,32.975201,LOS
48.816368,38397357.62,32.974552,LOS
48.443027,38397419.47,32.973892,LOS
48.620476,38397481.63,32.97324,LOS
48.687107,38397543.26,32.972591,LOS
48.318169,38397599.54,32.971943,LOS
47.725323,38397661.21,32.971291,LOS
47.015835,38397722.8,32.970638,LOS
46.227104,38397784.63,32.96999,LOS
46.836758,38397846.24,32.969337,LOS
46.727024,38397902.35,32.968681,LOS
46.591488,38397963.98,32.968037,LOS
46.776211,38398026.09,32.967388,LOS
47.349155,38398087.93,32.966736,LOS
47.16235,38398144.4,32.966084,LOS
47.527172,38398205.83,32.965427,LOS
46.639576,38398267.59,32.964779,LOS
46.47538,38398329.36,32.964127,LOS
46.152401,38398391.07,32.963478,LOS
46.853165,38398446.92,32.96283,LOS
47.190098,38398508.76,32.962185,LOS
47.110222,38398570.22,32.961525,LOS
46.575417,38398632.08,32.960876,LOS
46.352169,38398688.37,32.960236,LOS
